Begintijd	Eindtijd	Rijnummer	Hoogte	Onderdeel Geformat	Onderdeel Orgineel	Beschrijving
Maandag						
16:00	18:00	0	6	MEGA#Spellen	MEGA spellen	Bij de Bolk hebben wij alles MEGA, daarom ook bellen. Kom bij ons genieten van het mooie weer en de mooie bellen en start je OWee goed.
18:00	20:00	0	6	Eettafel	Eettafel	Onze eettafel bestaat uit een voorgerecht, een hoofdgerecht en een toetje, elke dag gemaakt door onze eigen leden met verse producten.
20:00	22:00	0	3	3D#Twister	3D Twister	Klauter het hele vooronder van ons zeilschip door op weg naar de gekleurde rondjes, maar zorg dat je niet valt!
20:00	22:00	3	3	Vibratorrace	Vibratorrace	Pimp een vibrator en race het snelst naar de finish! Puur genot.
22:00	04:00	0	6	Cocktailnight	Cocktailnight	De beroemde Bolksche Cocktailnight wordt weer een groot feest! Met befaamde cocktails zoals de Pangalactic Gargleblaster en de Paarse Moederneuker!
04:00	05:00	0	6	4-uur-#cup-#à-#soup	4 uur Cup-a-soup	Als je de avond bij ons hebt uitgespeeld kan je bij ons eindigen met een lekker kopje cup-a-soup. Dat zouden meer mensen moeten doen!
						
Dinsdag						
16:00	18:00	0	4	Dart je#Mentor	Dart je Mentor	Ben jij je mentor zat? Heb jij een hekel aan Stalin? Wij maken een foto en projecteren hem op ons dartbord, jij mag kijken waar je de pijltjes wil gooien.
16:00	21:00	4	2	Escaperoom	Escaperoom	Treed binnen in de escaperoom in het ruim van onze botter Trui. Kom jij er op tijd weer uit?
18:00	20:00	0	4	Eettafel	Eettafel	Onze eettafel bestaat uit een voorgerecht, een hoofdgerecht en een toetje, elke dag gemaakt door onze eigen leden met verse producten.
20:00	21:00	0	2	Fluitketel#Curling	Fluitketel Curling	Heb je ooit al eens aan curling gedaan? Nee? Probeer het nu met fluitketels en glij door de zaal.
20:00	21:00	2	2	Kroegsport	Kroegsport	Spijkerslaan, tafelvoetbal, darten: hier zijn Bolkers professionals in! Probeer ze te verslaan.
21:00	22:00	0	3	Mix#je#Mojito	Mix je Mojito	Klassieke mojito's zijn erg saai, bij ons kun je experimenteren met gekke ingrediënten.
21:00	22:00	3	3	Loco#met#Choco	Loco met Choco	Chocoladetaart, chocoladecake, chocoladekoekjes, chocoladecocktails, chocolademousse…. Voor als het eten bij het Corps tegenviel.
22:00	22:30	0	6	P#r#e#i#m#e#p#p#e#n	Preimeppen	Wist je dat preien geweldige wapens zijn? We hebben er 100, first come first served!
22:30	23:00	0	6	K#ij#k#hoe#het#k#l#i#n#k#t	Kijk hoe het klinkt	Klinken crashende TV's anders dan computers? Raad wat we naar beneden smijten aan de hand van het geluid!
23:00	00:00	0	3	Robot#Wars	Robot Wars	Barstend metaal, piepende banden, vliegende messen, explosies en meer! Maak met je groepje je eigen bestuurbare gevechtsrobot en vecht tegen een ander groepje!
23:00	01:00	3	3	Tosti#klussen	Tostiklussen	De Bolk staat bekend om zijn heerlijke, originele tosti's, dit is jouw kans om je eigen recept te maken.
00:00	01:00	0	3	Irish#Hour	Irish Hour	Guinness, (Dropkick) Murphys, Irish Coffee, Flogging Molly and Leprechauns, we're going out in style!
01:00	04:00	0	6	Foute#Karaoke	Foute Karaoke	Grijp je kans en kom alle nummers waar je stiekem heel erg van geniet meezingen/meeschreeuwen achter een microfoon.
04:00	05:00	0	6	4-uur-#cup-#à-#soup	4 uur cup-a-soup	Als je de avond bij ons hebt uitgespeeld kan je bij ons eindigen met een lekker kopje cup-a-soup. Dat zouden meer mensen moeten doen!
						
Woensdag						
16:00	18:00	0	3	Retrogamen	Retrogamen	Mario Kart Dubble Dash, Super Smash Bros en nog veel meer. Ga de strijd met elkaar aan op oude Nintendo consoles.
16:00	18:00	3	3	Sleutelhanger#Knopen	Knoop je sleutelhanger	Leer knopen maken, maak je eigen apenvuistje en neem hem mee als sleutelhanger.
18:00	20:00	0	6	Eettafel	Eettafel	Onze eettafel bestaat uit een voorgerecht, een hoofdgerecht en een toetje, elke dag gemaakt door onze eigen leden met verse producten.
20:00	21:30	0	2	Pimp je Fiets	Pimp je Fiets	Heb jij al een fiets in Delft? Pimp hem tot het Delft-proof stalen ros dat je studententijd gaat overleven.
20:30	21:30	2	4	Vloer#is#Lava	Vloer-is-lava-borrel	Kom gezellig borrelen in de soos of op ons zeilschip, maar raak de vloer niet aan!
21:30	22:30	0	4	Toetjes#eet#Wedstrijd	Toetjeseetwedstrijd	Taart, koekjes, yoghurt, en nog veel meer. Eet tot je niet meer kan!
21:30	23:30	4	2	Speciaalbier#Proeverij 	Speciaalbierproeverij	Op het level zit het Bolksche Bierbrouwers Gilde (BBG) klaar om uitleg te geven over allerlei bieren, en natuurlijk kun je die ook proeven!
22:30	23:30	0	4	Dozen#fort	Dozenfort	Stapelen maar! Wij hebben heel veel dozen verzameld zodat jullie je eigen fort kunnen bouwen!
23:30	04:00	0	2       Short Film Marathon	Short Film Marathon	Wil jij lekker even bijkomen van al dat eten? Plof dan neer op ons level en kom kijken naar korte films.
23:30	00:00	0	6	V#i#l#t#j#e#s#o#o#r#l#o#g	Bierviltjesoorlog	Gooi bierviltjes naar elkaar. Je weet dat je dit wil.
00:00	00:30	2	4	B#L#I#K#B#I#E#R	Blikbierkwartier	Bij een blikbierkwartier sloop je dingen terwijl je blikbier drinkt (en gooit). Gaaf toch?
00:30	04:00	2	4	Hard Rock#Café 	Hard Rock Café 	Scheurende gitaren in overvloed bij het Hard Rock Café.
04:00	05:00	0	6	4-uur-#cup-#à-#soup	4 uur cup-a-soup	Als je de avond bij ons hebt uitgespeeld kan je bij ons eindigen met een lekker kopje cup-a-soup. Dat zouden meer mensen moeten doen!
						
Donderdag						
14:00	18:00	0	3	Spa	Spa	Kom jezelf verwennen met een heerlijk (voeten)badje, gezichtsmasker of ontspannende zoutscrub, als een echte man! Ook staan er badjes op onze botter!
14:00	16:00	3	3	High#Tea	High Tea	Kom in onze lounge ontspannen met thee en koekjes!
16:00	18:00	3	3	Midget#golf	Midgetgolf	Onze sociëteit is omgetoverd tot een midgetgolfbaan. Let op: hoge moeilijkheidsgraad!
18:00	20:00	0	6	Eettafel	Eettafel	Onze eettafel bestaat uit een voorgerecht, een hoofdgerecht en een toetje, elke dag gemaakt door onze eigen leden met verse producten.
20:00	22:00	0	6	Band op#de Boot	Band op de Boot	Verschillende Bolkse bandjes komen optreden op het voordek van onze boot. Relax in de lounge en geniet van de zomernacht.
22:00	23:00	0	6	Koekjes#Bakken	Koekjes Bakken	Bekijk de keuken van de Bolk van binnen en kom gezellig koekjes bakken.
23:00	04:00	0	6	Krankzinnige#Borrel	Krankzinnige Borrel	Kom Prettig Gestoord doen bij deze borrel. Liever prettig gestoord dan verschrikkelijk gewoontjes!
04:00	05:00	0	6	4-uur-#cup-#à-#soup	4 uur cup-a-soup	Als je de avond bij ons hebt uitgespeeld kan je bij ons eindigen met een lekker kopje cup-a-soup. Dat zouden meer mensen moeten doen!
